eventType,deviceName,userName,tags,data,date
"fileCreated","İçerik 1-2", "İçerik 1-3","İçerik 1-4, İçerik 1-4.2", "İçerik 1-5", "İçerik 1-6"
"fileCreated","İçerik 2-2", "İçerik 2-3","İçerik 2-4", "İçerik 2-5", "İçerik 2-6"
"fileCreated","İçerik 3-2", "İçerik 3-3","İçerik 3-4", "İçerik 3-5", "İçerik 3-6"
"fileAccessed","İçerik 4-2", "İçerik 4-3","İçerik 4-4", "İçerik 4-5", "İçerik 4-6"
"fileAccessed","İçerik 5-2", "İçerik 5-3","İçerik 5-4", "İçerik 5-5", "İçerik 5-6"
"fileAccessed","İçerik 6-2", "İçerik 6-3","İçerik 6-4", "İçerik 6-5", "İçerik 6-6"
"fileAccessed","İçerik 7-2", "İçerik 7-3","İçerik 7-4", "İçerik 7-5", "İçerik 7-6"
"fileAccessed","İçerik 8-2", "İçerik 8-3","İçerik 8-4", "İçerik 8-5", "İçerik 8-6"
"fileAccessed","İçerik 9-2", "İçerik 9-3","İçerik 9-4", "İçerik 9-5", "İçerik 9-6"
"fileAccessed","İçerik 10-2", "İçerik 10-3","İçerik 10-4", "İçerik 10-5", "İçerik 10-6"
"eventRecordCreated","İçerik 11-2", "İçerik 11-3","İçerik 11-4", "İçerik 11-5", "İçerik 11-6"
"eventRecordCreated","İçerik 12-2", "İçerik 12-3","İçerik 12-4", "İçerik 12-5", "İçerik 12-6"
"eventRecordCreated","İçerik 13-2", "İçerik 13-3","İçerik 13-4", "İçerik 13-5", "İçerik 13-6"
"eventRecordCreated","İçerik 14-2", "İçerik 14-3","İçerik 14-4", "İçerik 14-5", "İçerik 14-6"
"eventRecordCreated","İçerik 15-2", "İçerik 15-3","İçerik 15-4", "İçerik 15-5", "İçerik 15-6"
"fileCreated","İçerik 16-2", "İçerik 16-3","İçerik 16-4", "İçerik 16-5", "İçerik 16-6"
"fileDownloaded","İçerik 17-2", "İçerik 17-3","İçerik 17-4", "İçerik 17-5", "İçerik 17-6"
"fileDownloaded","İçerik 18-2", "İçerik 18-3","İçerik 18-4", "İçerik 18-5", "İçerik 18-6"
"fileDownloaded","İçerik 19-2", "İçerik 19-3","İçerik 19-4", "İçerik 19-5", "İçerik 19-6"
"fileDownloaded","İçerik 20-2", "İçerik 20-3","İçerik 20-4", "İçerik 20-5", "İçerik 20-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
"fileDownloaded","İçerik 21-2", "İçerik 21-3","İçerik 21-4", "İçerik 21-5", "İçerik 21-6"
